interface,overload_control,Load,BREAKWATERD_B,RATE_LIMITING,BREAKWATERD_SLO,DAGOR_QUEUING_THRESHOLD,PRICE_UPDATE_RATE,LAZY_UPDATE,DAGOR_ADMISSION_LEVEL_UPDATE_INTERVAL,TOKEN_UPDATE_RATE,LOAD_SHEDDING,PRICE_STEP,BREAKWATER_A,BREAKWATER_LOAD_SHEDDING,BREAKWATERD_INITIAL_CREDIT,LATENCY_THRESHOLD,BREAKWATER_CLIENT_EXPIRATION,DAGOR_UMAX,BREAKWATERD_A,BREAKWATERD_LOAD_SHEDDING,PRICE_STRATEGY,BREAKWATERD_RTT,BREAKWATER_INITIAL_CREDIT,BREAKWATER_B,DAGOR_ALPHA,INTERCEPT,BREAKWATERD_CLIENT_EXPIRATION,DAGOR_BETA,CHARON_TRACK_PRICE,BREAKWATER_SLO,BREAKWATER_RTT,Throughput,Goodput,99th_percentile,95th_percentile,Median Latency,Throughput std,Goodput std,99th_percentile std,95th_percentile std,Median Latency std,file_count,Request
S_102000854,breakwater,1000,0.02,True,12500us,2ms,10ms,False,10ms,10ms,True,0,8.34044009405148,True,400,100us,0us,20,0.001,True,step,1000us,605,1.4406489868843162,0.05,breakwater,10ms,0.01,False,1937us,2935us,57.06637031485067,57.06637031485067,45.79641882666667,45.14976391666666,43.873120666666665,4.413514289608305,4.413514289608305,0.2173109032078353,0.089321673908727,0.0586417114025728,3,S_102000854
S_102000854,breakwater,2000,0.02,True,12500us,2ms,10ms,False,10ms,10ms,True,0,8.34044009405148,True,400,100us,0us,20,0.001,True,step,1000us,605,1.4406489868843162,0.05,breakwater,10ms,0.01,False,1937us,2935us,312.4923603048824,312.4923603048824,46.00843585333333,44.59833,42.767185000000005,20.18952754455649,20.18952754455649,0.6185474334566344,0.2360126674177899,0.1194501428239707,3,S_102000854
S_102000854,breakwater,3000,0.02,True,12500us,2ms,10ms,False,10ms,10ms,True,0,8.34044009405148,True,400,100us,0us,20,0.001,True,step,1000us,605,1.4406489868843162,0.05,breakwater,10ms,0.01,False,1937us,2935us,867.4608785287668,867.4608785287668,46.22617433999998,43.89629391666667,41.53914483333333,20.16603951163831,20.16603951163831,0.8226658663481015,0.1533679492623246,0.0327167615154005,3,S_102000854
S_102000854,breakwater,4000,0.02,True,12500us,2ms,10ms,False,10ms,10ms,True,0,8.34044009405148,True,400,100us,0us,20,0.001,True,step,1000us,605,1.4406489868843162,0.05,breakwater,10ms,0.01,False,1937us,2935us,1263.8154074842068,1263.8154074842068,48.70930107999999,45.1920696,41.36469466666667,36.49533675770755,36.49533675770755,0.2151764878019563,0.0990131025708814,0.0322547689118307,3,S_102000854
S_102000854,breakwater,5000,0.02,True,12500us,2ms,10ms,False,10ms,10ms,True,0,8.34044009405148,True,400,100us,0us,20,0.001,True,step,1000us,605,1.4406489868843162,0.05,breakwater,10ms,0.01,False,1937us,2935us,1765.9795136173225,1765.9795136173225,50.581532226666674,46.46753808333333,41.2547615,3.907299625714336,3.907299625714336,0.1847258217634899,0.2912901569726774,0.0632254723364464,3,S_102000854
S_102000854,breakwater,6000,0.02,True,12500us,2ms,10ms,False,10ms,10ms,True,0,8.34044009405148,True,400,100us,0us,20,0.001,True,step,1000us,605,1.4406489868843162,0.05,breakwater,10ms,0.01,False,1937us,2935us,2522.6215376960085,2522.6215376960085,55.15295522,49.16537316666666,41.720585,43.39033608193491,43.39033608193491,1.487289167551341,0.3980789985464552,0.0878884714320737,3,S_102000854
S_102000854,breakwater,7000,0.02,True,12500us,2ms,10ms,False,10ms,10ms,True,0,8.34044009405148,True,400,100us,0us,20,0.001,True,step,1000us,605,1.4406489868843162,0.05,breakwater,10ms,0.01,False,1937us,2935us,3320.067891067311,3320.067891067311,60.614569976666665,53.162294516666655,43.1795985,26.111109205623727,26.111109205623727,1.959093350049292,0.5438093930748472,0.1859281188044646,3,S_102000854
S_102000854,breakwater,8000,0.02,True,12500us,2ms,10ms,False,10ms,10ms,True,0,8.34044009405148,True,400,100us,0us,20,0.001,True,step,1000us,605,1.4406489868843162,0.05,breakwater,10ms,0.01,False,1937us,2935us,4236.745065555501,4236.745065555501,73.86354045999998,63.420298383333325,47.42534383333333,139.41813172008435,139.41813172008435,0.860804287885148,0.4156542544085771,0.4675924941891795,3,S_102000854
S_102000854,breakwater,9000,0.02,True,12500us,2ms,10ms,False,10ms,10ms,True,0,8.34044009405148,True,400,100us,0us,20,0.001,True,step,1000us,605,1.4406489868843162,0.05,breakwater,10ms,0.01,False,1937us,2935us,4977.089397571978,4977.089397571978,88.48445998999999,75.30154726666667,53.188177333333336,371.4096400154272,371.4096400154272,6.86776746121553,6.457174687019205,3.6298344546392496,3,S_102000854
S_102000854,breakwater,10000,0.02,True,12500us,2ms,10ms,False,10ms,10ms,True,0,8.34044009405148,True,400,100us,0us,20,0.001,True,step,1000us,605,1.4406489868843162,0.05,breakwater,10ms,0.01,False,1937us,2935us,5873.081375520306,5873.081375520306,129.7171245000001,103.03201413333332,65.82050366666665,52.39897624227934,52.39897624227934,6.14070500131377,1.868251514456348,0.8338642675756978,3,S_102000854
S_102000854,breakwater,11000,0.02,True,12500us,2ms,10ms,False,10ms,10ms,True,0,8.34044009405148,True,400,100us,0us,20,0.001,True,step,1000us,605,1.4406489868843162,0.05,breakwater,10ms,0.01,False,1937us,2935us,6006.219295797288,6006.219295797288,157.90849222666662,131.45022158333333,79.17422016666667,35.519024525813506,35.519024525813506,11.19518104994798,7.877678241662046,4.8390781177339965,3,S_102000854
S_102000854,breakwater,12000,0.02,True,12500us,2ms,10ms,False,10ms,10ms,True,0,8.34044009405148,True,400,100us,0us,20,0.001,True,step,1000us,605,1.4406489868843162,0.05,breakwater,10ms,0.01,False,1937us,2935us,6099.402512276437,6014.712411287723,221.90445371600003,172.34318661999995,91.0036128,157.24197905089312,155.22305695889327,18.638049685152247,11.279091032142594,4.223976714743938,5,S_102000854
S_102000854,breakwater,13000,0.02,True,12500us,2ms,10ms,False,10ms,10ms,True,0,8.34044009405148,True,400,100us,0us,20,0.001,True,step,1000us,605,1.4406489868843162,0.05,breakwater,10ms,0.01,False,1937us,2935us,6558.294996645451,6299.233830057634,258.12156358333334,204.7936552166666,106.64570016666666,106.84599879638712,42.91790651182358,19.88858270812276,16.592750175590147,3.935375918939984,3,S_102000854
S_102000854,breakwater,14000,0.02,True,12500us,2ms,10ms,False,10ms,10ms,True,0,8.34044009405148,True,400,100us,0us,20,0.001,True,step,1000us,605,1.4406489868843162,0.05,breakwater,10ms,0.01,False,1937us,2935us,6292.316272002746,5897.3428469881865,291.0326351699999,222.37349991666665,113.0443005,478.22050555840383,334.5778365938904,36.19589684285548,21.69986597517041,14.214703917179373,3,S_102000854
