timestamp,interface,control_scheme,capacity,throughput,goodput,latency_99,latency_95,latency_median,filename,DAGOR_BETA,BREAKWATERD_LOAD_SHEDDING,BREAKWATERD_B,BREAKWATER_A,BREAKWATERD_RTT,PRICE_STEP,BREAKWATERD_A,DAGOR_ADMISSION_LEVEL_UPDATE_INTERVAL,PRICE_UPDATE_RATE,INTERCEPT,CHARON_TRACK_PRICE,DAGOR_UMAX,DAGOR_QUEUING_THRESHOLD,BREAKWATER_B,LAZY_UPDATE,RATE_LIMITING,BREAKWATER_TRACK_CREDIT,BREAKWATER_CLIENT_EXPIRATION,LATENCY_THRESHOLD,BREAKWATER_INITIAL_CREDIT,DAGOR_ALPHA,BREAKWATER_LOAD_SHEDDING,BREAKWATER_SLO,TOKEN_UPDATE_RATE,BREAKWATERD_SLO,BREAKWATER_RTT,BREAKWATERD_INITIAL_CREDIT,LOAD_SHEDDING,BREAKWATERD_CLIENT_EXPIRATION,PRICE_STRATEGY
0607_1550,motivate-set,charon,22000,4965.7555731939465,4965.7555731939465,47.54422921999983,35.253912899999996,25.0380125,/home/jiali/Sync/Git/protobuf/ghz-results/social-motivate-set-control-charon-parallel-capacity-22000-0607_1550.json,0.01,true,0.02,0.001,1000us,138,0.001,10ms,5697us,charon,false,20,2ms,0.02,true,true,false,10ms,193us,400,0.05,true,12500us,14856us,12500us,1000us,400,true,10ms,linear
0608_0024,S_161142529,charon,1000,997.8271537158458,997.8271537158458,73.6135198,71.6099176,69.144462,/home/jiali/Sync/Git/protobuf/ghz-results/social-S_161142529-control-charon-parallel-capacity-1000-0608_0024.json,0.01,true,0.02,0.001,1000us,98,0.001,10ms,1089us,charon,false,20,2ms,0.02,true,true,false,10ms,7297us,400,0.05,true,12500us,25582us,12500us,1000us,400,true,10ms,linear
0608_0806,motivate-get,dagor,26000,2050.0617315650393,1079.2431555963162,904.7133499699987,521.3314739499992,32.2403495,/home/jiali/Sync/Git/protobuf/ghz-results/social-motivate-get-control-dagor-parallel-capacity-26000-0608_0806.json,0.9402725344777285,true,0.02,0.001,1000us,0,0.001,16214us,10ms,dagor,false,18,69539us,0.02,false,true,false,10ms,100us,400,1.936523151438795,true,12500us,10ms,12500us,1000us,400,true,10ms,step
0607_2052,motivate-get,dagor,24000,11843.732202501242,10614.188752041935,74.81742752999966,46.9390248,10.663929,/home/jiali/Sync/Git/protobuf/ghz-results/social-motivate-get-control-dagor-parallel-capacity-24000-0607_2052.json,0.9402725344777285,true,0.02,0.001,1000us,0,0.001,16214us,10ms,dagor,false,18,69539us,0.02,false,true,false,10ms,100us,400,1.936523151438795,true,12500us,10ms,12500us,1000us,400,true,10ms,step
0607_2024,motivate-set,dagor,26000,6356.775584254804,6222.904027946395,155.72741151999998,105.35565599999998,43.422845,/home/jiali/Sync/Git/protobuf/ghz-results/social-motivate-set-control-dagor-parallel-capacity-26000-0607_2024.json,0.9402725344777285,true,0.02,0.001,1000us,0,0.001,16214us,10ms,dagor,false,18,69539us,0.02,false,true,false,10ms,100us,400,1.936523151438795,true,12500us,10ms,12500us,1000us,400,true,10ms,step
0607_2355,motivate-get,breakwater,22000,11600.029013608812,11148.070543933653,50.910827019999786,33.0200232,11.875233,/home/jiali/Sync/Git/protobuf/ghz-results/social-motivate-get-control-breakwater-parallel-capacity-22000-0607_2355.json,0.01,true,0.02,0.869458465975631,1000us,0,0.001,10ms,10ms,breakwater,false,20,2ms,0.5056524813385149,false,true,false,484us,100us,255,0.05,true,5724us,10ms,12500us,8986us,400,true,10ms,step
0608_0620,motivate-set,breakwater,12000,4725.151432637107,4725.151432637107,39.020544290000004,32.41615495,24.368785,/home/jiali/Sync/Git/protobuf/ghz-results/social-motivate-set-control-breakwater-parallel-capacity-12000-0608_0620.json,0.01,true,0.02,0.869458465975631,1000us,0,0.001,10ms,10ms,breakwater,false,20,2ms,0.5056524813385149,false,true,false,484us,100us,255,0.05,true,5724us,10ms,12500us,8986us,400,true,10ms,step
0607_1439,motivate-get,breakwater,18000,10512.968056447517,10402.739807139491,35.33259869999999,21.1457697,6.879362,/home/jiali/Sync/Git/protobuf/ghz-results/social-motivate-get-control-breakwater-parallel-capacity-18000-0607_1439.json,0.01,true,0.02,0.869458465975631,1000us,0,0.001,10ms,10ms,breakwater,false,20,2ms,0.5056524813385149,false,true,false,484us,100us,255,0.05,true,5724us,10ms,12500us,8986us,400,true,10ms,step
0608_0703,motivate-set,breakwater,14000,5289.288678898404,5289.288678898404,43.375437530000006,34.4832284,24.651876,/home/jiali/Sync/Git/protobuf/ghz-results/social-motivate-set-control-breakwater-parallel-capacity-14000-0608_0703.json,0.01,true,0.02,0.869458465975631,1000us,0,0.001,10ms,10ms,breakwater,false,20,2ms,0.5056524813385149,false,true,false,484us,100us,255,0.05,true,5724us,10ms,12500us,8986us,400,true,10ms,step
0607_1745,motivate-set,breakwaterd,30000,8310.786447885685,7446.096449415068,207.17639231999945,149.17878159999998,63.763413,/home/jiali/Sync/Git/protobuf/ghz-results/social-motivate-set-control-breakwaterd-parallel-capacity-30000-0607_1745.json,0.01,true,5.148891120583086,3.070032864834775,18164us,0,6.637946452197888,10ms,10ms,breakwaterd,false,20,2ms,4.140559878195683,false,true,false,3472us,100us,414,0.05,true,27258us,10ms,19623us,999us,2933,true,95013us,step
