interface,control_scheme,capacity,BREAKWATERD_B,RATE_LIMITING,BREAKWATERD_SLO,DAGOR_QUEUING_THRESHOLD,PRICE_UPDATE_RATE,LAZY_UPDATE,DAGOR_ADMISSION_LEVEL_UPDATE_INTERVAL,TOKEN_UPDATE_RATE,LOAD_SHEDDING,PRICE_STEP,BREAKWATER_A,BREAKWATER_LOAD_SHEDDING,BREAKWATERD_INITIAL_CREDIT,LATENCY_THRESHOLD,BREAKWATER_CLIENT_EXPIRATION,DAGOR_UMAX,BREAKWATERD_A,BREAKWATERD_LOAD_SHEDDING,PRICE_STRATEGY,BREAKWATERD_RTT,BREAKWATER_INITIAL_CREDIT,BREAKWATER_B,DAGOR_ALPHA,INTERCEPT,BREAKWATERD_CLIENT_EXPIRATION,DAGOR_BETA,CHARON_TRACK_PRICE,BREAKWATER_SLO,BREAKWATER_RTT,Throughput,Goodput,99th_percentile,95th_percentile,Median Latency,Throughput std,Goodput std,99th_percentile std,95th_percentile std,Median Latency std,file_count
S_102000854,breakwater,1000,0.02,True,12500us,2ms,10ms,False,10ms,10ms,True,0,0.2895180150248522,True,400,100us,82us,20,0.001,True,step,1000us,1776,1.2813105474595612,0.05,breakwater,10ms,0.01,False,4618us,18779us,761.9377142939119,683.5276903715499,284.101046526,274.10147941,220.58741049999998,262.37463268924057,378.1940761889049,368.28179283163985,365.65491998038874,309.2869034432204,5
S_102000854,breakwater,2000,0.02,True,12500us,2ms,10ms,False,10ms,10ms,True,0,0.2895180150248522,True,400,100us,82us,20,0.001,True,step,1000us,1776,1.2813105474595612,0.05,breakwater,10ms,0.01,False,4618us,18779us,1195.419262530226,1187.6111865949429,213.03381860333332,187.45931223333332,90.43894425,599.5018696164599,614.1047461903783,335.57568345140055,293.6137309631971,101.27188830436319,6
S_102000854,breakwater,3000,0.02,True,12500us,2ms,10ms,False,10ms,10ms,True,0,0.2895180150248522,True,400,100us,82us,20,0.001,True,step,1000us,1776,1.2813105474595612,0.05,breakwater,10ms,0.01,False,4618us,18779us,1342.9428836874574,1336.159419700116,387.1557234083335,249.7363464166665,59.47151391666667,1000.0062520410074,1000.2736778666582,361.9943834451665,286.31013597942655,12.830378202734437,6
S_102000854,breakwater,4000,0.02,True,12500us,2ms,10ms,False,10ms,10ms,True,0,0.2895180150248522,True,400,100us,82us,20,0.001,True,step,1000us,1776,1.2813105474595612,0.05,breakwater,10ms,0.01,False,4618us,18779us,1405.857662128166,1400.2301124551907,293.40324450200006,268.09175369999997,219.12622040000002,744.6127448722804,754.5566542896087,354.27472736398835,362.6660708872388,329.64881823486735,7
S_102000854,breakwater,5000,0.02,True,12500us,2ms,10ms,False,10ms,10ms,True,0,0.2895180150248522,True,400,100us,82us,20,0.001,True,step,1000us,1776,1.2813105474595612,0.05,breakwater,10ms,0.01,False,4618us,18779us,1588.716533854749,1551.6648261732819,397.957620315,349.3141312666666,103.44964525,1159.4767205314108,1149.4066477552344,317.3710754055617,303.4689347301125,49.42915798944858,8
S_102000854,breakwater,6000,0.02,True,12500us,2ms,10ms,False,10ms,10ms,True,0,0.2895180150248522,True,400,100us,82us,20,0.001,True,step,1000us,1776,1.2813105474595612,0.05,breakwater,10ms,0.01,False,4618us,18779us,1211.3728397852676,1108.8081358548068,483.3339221433334,413.271700725,121.90054116666666,1103.570161708282,998.277424995664,355.36399807302877,322.14998692051137,109.7375735504614,6
S_102000854,breakwater,7000,0.02,True,12500us,2ms,10ms,False,10ms,10ms,True,0,0.2895180150248522,True,400,100us,82us,20,0.001,True,step,1000us,1776,1.2813105474595612,0.05,breakwater,10ms,0.01,False,4618us,18779us,1526.821404854591,1185.1407907773141,637.356774016,564.0213500699999,128.3026044,1164.270248951141,947.8420880509123,298.0920315419246,296.53241638845986,59.405740282838174,6
S_102000854,breakwater,8000,0.02,True,12500us,2ms,10ms,False,10ms,10ms,True,0,0.2895180150248522,True,400,100us,82us,20,0.001,True,step,1000us,1776,1.2813105474595612,0.05,breakwater,10ms,0.01,False,4618us,18779us,1030.1540666357525,791.4496599174296,487.3034591600001,412.9409756125,237.76093974999998,670.1375390818863,677.2882657338686,375.78306391543435,335.33561461753715,270.36111498975333,4
S_102000854,breakwater,9000,0.02,True,12500us,2ms,10ms,False,10ms,10ms,True,0,0.2895180150248522,True,400,100us,82us,20,0.001,True,step,1000us,1776,1.2813105474595612,0.05,breakwater,10ms,0.01,False,4618us,18779us,1103.0155053035282,936.488685690867,536.0598971657143,421.71738934285685,116.2044855,803.9714333569625,663.2747432206414,289.8894068252858,229.54814647263154,55.42171050789687,8
S_102000854,breakwater,10000,0.02,True,12500us,2ms,10ms,False,10ms,10ms,True,0,0.2895180150248522,True,400,100us,82us,20,0.001,True,step,1000us,1776,1.2813105474595612,0.05,breakwater,10ms,0.01,False,4618us,18779us,940.2077290334536,551.6491950961898,948.5242808849996,729.3058753124992,208.873244625,700.8065419599068,440.2599040175405,144.9824764313071,201.22262508663164,82.42134644139837,5
S_102000854,breakwater,11000,0.02,True,12500us,2ms,10ms,False,10ms,10ms,True,0,0.2895180150248522,True,400,100us,82us,20,0.001,True,step,1000us,1776,1.2813105474595612,0.05,breakwater,10ms,0.01,False,4618us,18779us,1537.632062683017,984.8154328646287,790.9272363360008,566.22228406,159.5992521,778.460527627135,561.8430850434631,374.4583643950468,278.4867627508048,68.29810405899492,5
S_102000854,breakwater,12000,0.02,True,12500us,2ms,10ms,False,10ms,10ms,True,0,0.2895180150248522,True,400,100us,82us,20,0.001,True,step,1000us,1776,1.2813105474595612,0.05,breakwater,10ms,0.01,False,4618us,18779us,561.7360925044272,449.35366253586784,717.2329781266666,585.3343774499999,104.76628883333332,372.7547735983625,295.5819994580842,217.3967929090839,208.00295797176489,10.834208157251586,5
