timestamp,interface,control_scheme,capacity,throughput,goodput,latency_99,latency_95,latency_median,filename,PRICE_STEP,LAZY_UPDATE,BREAKWATER_TRACK_CREDIT,LOAD_SHEDDING,LATENCY_THRESHOLD,DAGOR_UMAX,BREAKWATER_CLIENT_EXPIRATION,BREAKWATERD_B,BREAKWATER_A,BREAKWATERD_RTT,TOKEN_UPDATE_RATE,BREAKWATERD_SLO,RATE_LIMITING,DAGOR_ALPHA,PRICE_STRATEGY,BREAKWATERD_CLIENT_EXPIRATION,BREAKWATER_B,DAGOR_ADMISSION_LEVEL_UPDATE_INTERVAL,BREAKWATER_SLO,BREAKWATERD_A,CHARON_TRACK_PRICE,BREAKWATER_INITIAL_CREDIT,BREAKWATERD_LOAD_SHEDDING,DAGOR_QUEUING_THRESHOLD,DAGOR_BETA,BREAKWATERD_INITIAL_CREDIT,BREAKWATER_RTT,INTERCEPT,PRICE_UPDATE_RATE,BREAKWATER_LOAD_SHEDDING
0610_1451,motivate-set,dagor,30000,20831.267112756697,3062.736509143605,990.9971987599997,907.3793998,381.821845,/home/jiali/Sync/Git/protobuf/ghz-results/social-motivate-set-control-dagor-parallel-capacity-30000-0610_1451.json,0,false,false,true,100us,18,10ms,0.02,0.001,1000us,10ms,12500us,true,2.6655044130329575,step,10ms,0.02,2535us,12500us,0.001,false,400,true,128834us,1.4321362022344095,400,1000us,dagor,10ms,true
0610_0131,motivate-get,breakwater,20000,10101.826636319653,4430.646753919995,760.8585026,301.49336199999993,46.427721,/home/jiali/Sync/Git/protobuf/ghz-results/social-motivate-get-control-breakwater-parallel-capacity-20000-0610_0131.json,0,false,false,true,100us,20,484us,0.02,0.869458465975631,1000us,10ms,12500us,true,0.05,step,10ms,0.5056524813385149,10ms,5724us,0.001,false,255,true,2ms,0.01,400,8986us,breakwater,10ms,true
0610_0106,motivate-get,dagor,24000,,,,,,/home/jiali/Sync/Git/protobuf/ghz-results/social-motivate-get-control-dagor-parallel-capacity-24000-0610_0106.json,0,false,false,true,100us,18,10ms,0.02,0.001,1000us,10ms,12500us,true,1.936523151438795,step,10ms,0.02,16214us,12500us,0.001,false,400,true,69539us,0.9402725344777285,400,1000us,dagor,10ms,true
0610_0657,motivate-get,breakwater,10000,8661.311230726922,8654.338540907234,19.90593586,13.410043699999996,5.567185,/home/jiali/Sync/Git/protobuf/ghz-results/social-motivate-get-control-breakwater-parallel-capacity-10000-0610_0657.json,0,false,false,true,100us,20,484us,0.02,0.869458465975631,1000us,10ms,12500us,true,0.05,step,10ms,0.5056524813385149,10ms,5724us,0.001,false,255,true,2ms,0.01,400,8986us,breakwater,10ms,true
0610_2110,motivate-get,charon,30000,6441.685052111166,3023.7090133957495,2142.7507821500044,842.5834745,46.1445095,/home/jiali/Sync/Git/protobuf/ghz-results/social-motivate-get-control-charon-parallel-capacity-30000-0610_2110.json,334,true,false,true,6896us,20,10ms,0.02,0.001,1000us,70011us,12500us,true,0.05,linear,10ms,0.02,10ms,12500us,0.001,false,400,true,2ms,0.01,400,1000us,charon,646us,true
0610_0724,motivate-set,dagor,30000,7005.087772337543,6289.17814913592,787.0865245400004,301.1883074499994,43.2049665,/home/jiali/Sync/Git/protobuf/ghz-results/social-motivate-set-control-dagor-parallel-capacity-30000-0610_0724.json,0,false,false,true,100us,18,10ms,0.02,0.001,1000us,10ms,12500us,true,1.936523151438795,step,10ms,0.02,16214us,12500us,0.001,false,400,true,69539us,0.9402725344777285,400,1000us,dagor,10ms,true
0610_1505,motivate-set,charon,30000,16538.964603564225,4428.770122877598,975.9771493399999,847.9715792,295.89194,/home/jiali/Sync/Git/protobuf/ghz-results/social-motivate-set-control-charon-parallel-capacity-30000-0610_1505.json,138,true,false,true,4870us,20,10ms,0.02,0.001,1000us,72218us,12500us,true,0.05,linear,10ms,0.02,10ms,12500us,0.001,false,400,true,2ms,0.01,400,1000us,charon,1382us,true
0611_0017,motivate-set,dagor,16000,6387.908051484996,6387.908051484996,64.90954319,50.931547949999995,27.725527,/home/jiali/Sync/Git/protobuf/ghz-results/social-motivate-set-control-dagor-parallel-capacity-16000-0611_0017.json,0,false,false,true,100us,18,10ms,0.02,0.001,1000us,10ms,12500us,true,9.682615757193975,step,10ms,0.02,16214us,12500us,0.001,false,400,true,138772us,0.9402725344777285,400,1000us,dagor,10ms,true
0610_2317,motivate-set,dagor,10000,1946.5774002424835,1946.5774002424835,35.76169889999998,29.5333915,24.2855725,/home/jiali/Sync/Git/protobuf/ghz-results/social-motivate-set-control-dagor-parallel-capacity-10000-0610_2317.json,0,false,false,true,100us,18,10ms,0.02,0.001,1000us,10ms,12500us,true,9.682615757193975,step,10ms,0.02,16214us,12500us,0.001,false,400,true,138772us,0.9402725344777285,400,1000us,dagor,10ms,true
0610_0721,motivate-get,dagor,26000,11430.176056662494,4744.572099522138,2576.3385552599993,832.4581380999998,49.996517,/home/jiali/Sync/Git/protobuf/ghz-results/social-motivate-get-control-dagor-parallel-capacity-26000-0610_0721.json,0,false,false,true,100us,18,10ms,0.02,0.001,1000us,10ms,12500us,true,1.936523151438795,step,10ms,0.02,16214us,12500us,0.001,false,400,true,69539us,0.9402725344777285,400,1000us,dagor,10ms,true
