timestamp,interface,control_scheme,capacity,throughput,goodput,latency_99,latency_95,latency_median,filename,PRICE_STEP,LAZY_UPDATE,BREAKWATER_TRACK_CREDIT,LOAD_SHEDDING,LATENCY_THRESHOLD,DAGOR_UMAX,BREAKWATER_CLIENT_EXPIRATION,BREAKWATERD_B,BREAKWATER_A,BREAKWATERD_RTT,TOKEN_UPDATE_RATE,BREAKWATERD_SLO,RATE_LIMITING,DAGOR_ALPHA,PRICE_STRATEGY,BREAKWATERD_CLIENT_EXPIRATION,BREAKWATER_B,DAGOR_ADMISSION_LEVEL_UPDATE_INTERVAL,BREAKWATER_SLO,BREAKWATERD_A,CHARON_TRACK_PRICE,BREAKWATER_INITIAL_CREDIT,BREAKWATERD_LOAD_SHEDDING,DAGOR_QUEUING_THRESHOLD,DAGOR_BETA,BREAKWATERD_INITIAL_CREDIT,BREAKWATER_RTT,INTERCEPT,PRICE_UPDATE_RATE,BREAKWATER_LOAD_SHEDDING,interfaces,total_goodput,total_throughput
0615_1704,S_161142529,charon,4000,3301.5488564689035,3301.43738544262,258.79002839999936,207.62459925,125.9357375,/home/jiali/Sync/Git/protobuf/ghz-results/social-S_161142529-control-charon-parallel-capacity-4000-0615_1704.json,48,True,False,True,13360us,20,10ms,0.02,0.001,1000us,75666us,12500us,True,0.05,linear,10ms,0.02,10ms,12500us,0.001,False,400,True,2ms,0.01,400,1000us,charon,8394us,True,"('S_102000854', 'S_149998854', 'S_161142529')",9140.54534660356,9868.126393444041
0615_1707,S_161142529,charon,5000,1514.2822332774954,1476.1832386427304,403.77508184,298.2927011999998,68.113851,/home/jiali/Sync/Git/protobuf/ghz-results/social-S_161142529-control-charon-parallel-capacity-5000-0615_1707.json,48,True,False,True,13360us,20,10ms,0.02,0.001,1000us,75666us,12500us,True,0.05,linear,10ms,0.02,10ms,12500us,0.001,False,400,True,2ms,0.01,400,1000us,charon,8394us,True,"('S_102000854', 'S_149998854', 'S_161142529')",4056.538674473619,4393.593579478271
0615_1707,S_102000854,charon,5000,1502.926647203627,1206.707088123993,529.24155935,443.8492452499999,46.2720025,/home/jiali/Sync/Git/protobuf/ghz-results/social-S_102000854-control-charon-parallel-capacity-5000-0615_1707.json,48,True,False,True,13360us,20,10ms,0.02,0.001,1000us,75666us,12500us,True,0.05,linear,10ms,0.02,10ms,12500us,0.001,False,400,True,2ms,0.01,400,1000us,charon,8394us,True,"('S_102000854', 'S_149998854', 'S_161142529')",4056.538674473619,4393.593579478271
0615_1707,S_149998854,charon,5000,1376.3846989971482,1373.6483477068955,479.38484104,383.12014844999993,115.76994,/home/jiali/Sync/Git/protobuf/ghz-results/social-S_149998854-control-charon-parallel-capacity-5000-0615_1707.json,48,True,False,True,13360us,20,10ms,0.02,0.001,1000us,75666us,12500us,True,0.05,linear,10ms,0.02,10ms,12500us,0.001,False,400,True,2ms,0.01,400,1000us,charon,8394us,True,"('S_102000854', 'S_149998854', 'S_161142529')",4056.538674473619,4393.593579478271
0615_1711,S_161142529,charon,6000,5051.842744600311,4632.333246042322,471.64125698,388.4541826,202.647281,/home/jiali/Sync/Git/protobuf/ghz-results/social-S_161142529-control-charon-parallel-capacity-6000-0615_1711.json,48,True,False,True,13360us,20,10ms,0.02,0.001,1000us,75666us,12500us,True,0.05,linear,10ms,0.02,10ms,12500us,0.001,False,400,True,2ms,0.01,400,1000us,charon,8394us,True,"('S_102000854', 'S_149998854', 'S_161142529')",8515.434862886332,9462.704803778668
0615_1711,S_102000854,charon,6000,2592.923209488385,2065.1627671540373,557.5432151499997,419.212555,100.0988415,/home/jiali/Sync/Git/protobuf/ghz-results/social-S_102000854-control-charon-parallel-capacity-6000-0615_1711.json,48,True,False,True,13360us,20,10ms,0.02,0.001,1000us,75666us,12500us,True,0.05,linear,10ms,0.02,10ms,12500us,0.001,False,400,True,2ms,0.01,400,1000us,charon,8394us,True,"('S_102000854', 'S_149998854', 'S_161142529')",8515.434862886332,9462.704803778668
0615_1711,S_149998854,charon,6000,1817.9388496899724,1817.9388496899724,493.28579492,216.7703025999999,129.085091,/home/jiali/Sync/Git/protobuf/ghz-results/social-S_149998854-control-charon-parallel-capacity-6000-0615_1711.json,48,True,False,True,13360us,20,10ms,0.02,0.001,1000us,75666us,12500us,True,0.05,linear,10ms,0.02,10ms,12500us,0.001,False,400,True,2ms,0.01,400,1000us,charon,8394us,True,"('S_102000854', 'S_149998854', 'S_161142529')",8515.434862886332,9462.704803778668
0615_1714,S_161142529,charon,7000,3948.988215722879,3897.4910105326994,364.3938146399998,289.4590960000001,119.82213,/home/jiali/Sync/Git/protobuf/ghz-results/social-S_161142529-control-charon-parallel-capacity-7000-0615_1714.json,48,True,False,True,13360us,20,10ms,0.02,0.001,1000us,75666us,12500us,True,0.05,linear,10ms,0.02,10ms,12500us,0.001,False,400,True,2ms,0.01,400,1000us,charon,8394us,True,"('S_102000854', 'S_149998854', 'S_161142529')",8879.80860438208,8934.586023053078
0615_1714,S_102000854,charon,7000,924.1279640293905,924.1279640293905,155.02548354000004,123.25936089999996,56.416151,/home/jiali/Sync/Git/protobuf/ghz-results/social-S_102000854-control-charon-parallel-capacity-7000-0615_1714.json,48,True,False,True,13360us,20,10ms,0.02,0.001,1000us,75666us,12500us,True,0.05,linear,10ms,0.02,10ms,12500us,0.001,False,400,True,2ms,0.01,400,1000us,charon,8394us,True,"('S_102000854', 'S_149998854', 'S_161142529')",8879.80860438208,8934.586023053078
0615_1714,S_149998854,charon,7000,4061.469843300809,4058.1896298199913,470.04057928000014,352.1385140999998,146.886775,/home/jiali/Sync/Git/protobuf/ghz-results/social-S_149998854-control-charon-parallel-capacity-7000-0615_1714.json,48,True,False,True,13360us,20,10ms,0.02,0.001,1000us,75666us,12500us,True,0.05,linear,10ms,0.02,10ms,12500us,0.001,False,400,True,2ms,0.01,400,1000us,charon,8394us,True,"('S_102000854', 'S_149998854', 'S_161142529')",8879.80860438208,8934.586023053078
