interface,control_scheme,capacity,BREAKWATERD_B,RATE_LIMITING,BREAKWATERD_SLO,DAGOR_QUEUING_THRESHOLD,PRICE_UPDATE_RATE,LAZY_UPDATE,DAGOR_ADMISSION_LEVEL_UPDATE_INTERVAL,TOKEN_UPDATE_RATE,LOAD_SHEDDING,PRICE_STEP,BREAKWATER_A,BREAKWATER_LOAD_SHEDDING,BREAKWATERD_INITIAL_CREDIT,LATENCY_THRESHOLD,BREAKWATER_CLIENT_EXPIRATION,DAGOR_UMAX,BREAKWATERD_A,BREAKWATERD_LOAD_SHEDDING,PRICE_STRATEGY,BREAKWATERD_RTT,BREAKWATER_INITIAL_CREDIT,BREAKWATER_B,DAGOR_ALPHA,INTERCEPT,BREAKWATERD_CLIENT_EXPIRATION,DAGOR_BETA,CHARON_TRACK_PRICE,BREAKWATER_SLO,BREAKWATER_RTT,Throughput,Goodput,99th_percentile,95th_percentile,Median Latency,Throughput std,Goodput std,99th_percentile std,95th_percentile std,Median Latency std,file_count
S_102000854,breakwater,1000,0.02,True,12500us,2ms,10ms,False,10ms,10ms,True,0,0.2895180150248522,True,400,100us,82us,20,0.001,True,step,1000us,1776,1.2813105474595612,0.05,breakwater,10ms,0.01,False,4618us,18779us,885.3067962188734,885.3067962188734,47.11515892800001,44.302791389999996,41.1374005,165.54185557257446,165.54185557257446,0.7271800292883459,0.14379022276483278,0.10811403584965197,5
S_102000854,breakwater,2000,0.02,True,12500us,2ms,10ms,False,10ms,10ms,True,0,0.2895180150248522,True,400,100us,82us,20,0.001,True,step,1000us,1776,1.2813105474595612,0.05,breakwater,10ms,0.01,False,4618us,18779us,1772.209031498763,1772.209031498763,68.96132800800001,58.981523489999994,46.377662099999995,351.4282397468874,351.4282397468874,10.338713071003784,6.998703852969081,2.899767146258822,5
S_102000854,breakwater,3000,0.02,True,12500us,2ms,10ms,False,10ms,10ms,True,0,0.2895180150248522,True,400,100us,82us,20,0.001,True,step,1000us,1776,1.2813105474595612,0.05,breakwater,10ms,0.01,False,4618us,18779us,2500.674367176337,2497.0467545266674,111.24701644400002,90.06262670999999,61.608647700000006,425.394507027808,424.7863753240697,48.58677537389768,39.54802891024022,21.619717208729412,5
S_102000854,breakwater,4000,0.02,True,12500us,2ms,10ms,False,10ms,10ms,True,0,0.2895180150248522,True,400,100us,82us,20,0.001,True,step,1000us,1776,1.2813105474595612,0.05,breakwater,10ms,0.01,False,4618us,18779us,2942.3528560656523,2869.9531422537707,237.74874234400005,168.62184195999998,90.6596009,551.6238699458686,532.4074100085876,83.15034996447154,53.36618738635638,23.41588198457798,5
S_102000854,breakwater,5000,0.02,True,12500us,2ms,10ms,False,10ms,10ms,True,0,0.2895180150248522,True,400,100us,82us,20,0.001,True,step,1000us,1776,1.2813105474595612,0.05,breakwater,10ms,0.01,False,4618us,18779us,2449.426770012789,2205.46096947078,342.18021820499996,257.61940921249993,102.66409924999999,1272.5735896843823,1133.632086760326,46.92446102185059,26.2028883826426,22.74480436962626,5
S_102000854,breakwater,6000,0.02,True,12500us,2ms,10ms,False,10ms,10ms,True,0,0.2895180150248522,True,400,100us,82us,20,0.001,True,step,1000us,1776,1.2813105474595612,0.05,breakwater,10ms,0.01,False,4618us,18779us,2598.3157177734797,2073.419224834494,365.2098479299999,297.4626069624998,133.925549875,1355.926651844284,1055.1598925464848,19.057766533968646,15.801515840899972,21.406075130981822,5
S_102000854,breakwater,7000,0.02,True,12500us,2ms,10ms,False,10ms,10ms,True,0,0.2895180150248522,True,400,100us,82us,20,0.001,True,step,1000us,1776,1.2813105474595612,0.05,breakwater,10ms,0.01,False,4618us,18779us,3326.9569142045975,2553.7308675475842,498.73374469600003,374.28961188999983,137.4571122,402.8232845693123,198.30500979183483,107.29978219958608,73.43247127955297,29.853160246188324,5
S_102000854,breakwater,8000,0.02,True,12500us,2ms,10ms,False,10ms,10ms,True,0,0.2895180150248522,True,400,100us,82us,20,0.001,True,step,1000us,1776,1.2813105474595612,0.05,breakwater,10ms,0.01,False,4618us,18779us,1535.9457855098185,513.6887822464563,504.26374969000005,469.6036864,284.4970715,1550.9447737514406,546.3046552885806,83.75861400999999,67.90054959999999,24.38079449999998,5
S_102000854,breakwaterd,1000,1.981014890848788,True,58462us,2ms,10ms,False,10ms,10ms,True,0,6.133567491945523,True,4841,100us,137us,20,1.4038693859523377,True,step,6955us,670,8.781174363909454,0.05,breakwaterd,82067us,0.01,False,28375us,8346us,936.5292946487623,936.5292946487623,48.687520066000005,45.17205786,41.3895449,77.93811668380636,77.93811668380636,0.9125368673417661,0.3071328171975356,0.10269764686418063,5
S_102000854,breakwaterd,2000,1.981014890848788,True,58462us,2ms,10ms,False,10ms,10ms,True,0,6.133567491945523,True,4841,100us,137us,20,1.4038693859523377,True,step,6955us,670,8.781174363909454,0.05,breakwaterd,82067us,0.01,False,28375us,8346us,1641.6350499576324,1641.6350499576324,70.15680301199998,60.22385009,47.0681444,32.14036354405585,32.14036354405585,3.1161248675578905,1.3811305269898853,0.7281551971017156,5
S_102000854,breakwaterd,3000,1.981014890848788,True,58462us,2ms,10ms,False,10ms,10ms,True,0,6.133567491945523,True,4841,100us,137us,20,1.4038693859523377,True,step,6955us,670,8.781174363909454,0.05,breakwaterd,82067us,0.01,False,28375us,8346us,1718.3863744901046,1718.3863744901046,84.97041204199999,68.85086449999999,51.418902100000004,538.3236690616575,538.3236690616575,15.53709651581352,9.162402400920396,4.535058318048163,5
