interface,control_scheme,capacity,BREAKWATERD_B,RATE_LIMITING,BREAKWATERD_SLO,DAGOR_QUEUING_THRESHOLD,PRICE_UPDATE_RATE,LAZY_UPDATE,DAGOR_ADMISSION_LEVEL_UPDATE_INTERVAL,TOKEN_UPDATE_RATE,LOAD_SHEDDING,PRICE_STEP,BREAKWATER_A,BREAKWATER_LOAD_SHEDDING,BREAKWATERD_INITIAL_CREDIT,LATENCY_THRESHOLD,BREAKWATER_CLIENT_EXPIRATION,DAGOR_UMAX,BREAKWATERD_A,BREAKWATERD_LOAD_SHEDDING,PRICE_STRATEGY,BREAKWATERD_RTT,BREAKWATER_INITIAL_CREDIT,BREAKWATER_B,DAGOR_ALPHA,INTERCEPT,BREAKWATERD_CLIENT_EXPIRATION,DAGOR_BETA,BREAKWATER_SLO,BREAKWATER_RTT,Throughput,Goodput,99th_percentile,95th_percentile,Median Latency,Throughput std,Goodput std,99th_percentile std,95th_percentile std,Median Latency std,file_count
S_102000854,breakwater,2000,0.02,True,12500us,2ms,10ms,False,10ms,10ms,True,0,0.2895180150248522,True,400,100us,82us,20,0.001,True,step,1000us,1776,1.2813105474595612,0.05,breakwater,10ms,0.01,4618us,18779us,1994.7781046328005,1994.7781046328005,52.70302725000001,47.27462509,41.5934361,3.8584890888585868,3.8584890888585868,0.7238963218371277,0.5453275211997666,0.2098137755097113,5
S_102000854,breakwater,2000,0.02,True,12500us,2ms,10ms,False,10ms,10ms,True,0,1.8506617114993509,True,400,100us,2313us,20,0.001,True,step,1000us,279,1.98735942161596,0.05,breakwater,10ms,0.01,2418us,5913us,1976.5749151592306,1976.5749151592306,51.16190780800001,46.18797419,41.3128971,31.882605239419178,31.882605239419178,0.1442237836831419,0.19482470129207277,0.09098558931632886,5
S_102000854,breakwater,3000,0.02,True,12500us,2ms,10ms,False,10ms,10ms,True,0,0.2895180150248522,True,400,100us,82us,20,0.001,True,step,1000us,1776,1.2813105474595612,0.05,breakwater,10ms,0.01,4618us,18779us,2894.575171489628,2894.575171489628,60.53943625199999,53.589875459999995,43.6956013,70.03020375415193,70.03020375415193,1.2335322675815117,0.6079057851023691,0.19771511396289432,5
S_102000854,breakwater,4000,0.02,True,12500us,2ms,10ms,False,10ms,10ms,True,0,0.2895180150248522,True,400,100us,82us,20,0.001,True,step,1000us,1776,1.2813105474595612,0.05,breakwater,10ms,0.01,4618us,18779us,3805.052911437808,3805.052911437808,84.93848752999995,70.66426652999999,50.7348428,13.88609693019321,13.88609693019321,3.2302075666890513,1.7948661170102829,0.9815598703307702,5
S_102000854,breakwater,4000,0.02,True,12500us,2ms,10ms,False,10ms,10ms,True,0,1.8506617114993509,True,400,100us,2313us,20,0.001,True,step,1000us,279,1.98735942161596,0.05,breakwater,10ms,0.01,2418us,5913us,3800.53999330379,3800.53999330379,85.44411691999997,68.97578823999999,49.7583255,35.21735317231958,35.21735317231958,4.519357123758527,1.0724921190646621,0.23114162352073306,5
S_102000854,breakwater,5000,0.02,True,12500us,2ms,10ms,False,10ms,10ms,True,0,0.2895180150248522,True,400,100us,82us,20,0.001,True,step,1000us,1776,1.2813105474595612,0.05,breakwater,10ms,0.01,4618us,18779us,4278.438824353051,4277.9885535336925,149.25896116800013,111.83399816000001,66.7210364,153.57705367473403,153.3436935605348,17.37861704737869,6.934810428115625,2.552306621863496,5
S_102000854,breakwater,6000,0.02,True,12500us,2ms,10ms,False,10ms,10ms,True,0,0.2895180150248522,True,400,100us,82us,20,0.001,True,step,1000us,1776,1.2813105474595612,0.05,breakwater,10ms,0.01,4618us,18779us,4299.585812646539,4280.875611538138,224.07199062399997,172.75961996,82.1175696,307.3610312055233,307.42252974109743,14.199088707857332,14.515944864636543,4.97351345862632,5
S_102000854,breakwater,6000,0.02,True,12500us,2ms,10ms,False,10ms,10ms,True,0,1.8506617114993509,True,400,100us,2313us,20,0.001,True,step,1000us,279,1.98735942161596,0.05,breakwater,10ms,0.01,2418us,5913us,4465.08560059558,4427.212038685444,237.28433123200003,175.10567043999987,85.7789649,216.88875797247167,202.07294628995868,27.674919641828623,12.049533926942166,4.391388880815282,5
S_102000854,breakwater,7000,0.02,True,12500us,2ms,10ms,False,10ms,10ms,True,0,0.2895180150248522,True,400,100us,82us,20,0.001,True,step,1000us,1776,1.2813105474595612,0.05,breakwater,10ms,0.01,4618us,18779us,4215.198423646394,4132.731365712593,271.92482759399985,205.46765872999998,88.709024,416.59758173426746,366.7524615423475,32.131807577228095,17.045030574871745,8.32528964878592,5
S_102000854,breakwater,8000,0.02,True,12500us,2ms,10ms,False,10ms,10ms,True,0,0.2895180150248522,True,400,100us,82us,20,0.001,True,step,1000us,1776,1.2813105474595612,0.05,breakwater,10ms,0.01,4618us,18779us,3246.0689928034594,3206.039043977804,242.54155959999974,183.97825828999996,87.3912027,363.79701643576374,315.9863474824566,53.11395992182545,32.122837161371564,12.047051967698108,5
S_102000854,breakwater,8000,0.02,True,12500us,2ms,10ms,False,10ms,10ms,True,0,1.8506617114993509,True,400,100us,2313us,20,0.001,True,step,1000us,279,1.98735942161596,0.05,breakwater,10ms,0.01,2418us,5913us,4274.312118449249,4038.1223872302858,323.32342431799947,253.53240889999998,117.88163790000002,337.28548892663594,367.3660644148644,42.00505589058708,16.93007129694623,6.580616977283203,5
S_102000854,breakwater,9000,0.02,True,12500us,2ms,10ms,False,10ms,10ms,True,0,0.2895180150248522,True,400,100us,82us,20,0.001,True,step,1000us,1776,1.2813105474595612,0.05,breakwater,10ms,0.01,4618us,18779us,2742.1404308190226,2550.902948990414,551.2020850420002,266.01062171999996,107.26570940000002,594.9588013404016,494.4903654857006,265.28181384031046,56.85029598274069,22.267204731399097,5
S_102000854,breakwater,10000,0.02,True,12500us,2ms,10ms,False,10ms,10ms,True,0,0.2895180150248522,True,400,100us,82us,20,0.001,True,step,1000us,1776,1.2813105474595612,0.05,breakwater,10ms,0.01,4618us,18779us,2454.1500186281874,1859.789244872471,960.8379838049996,640.6031944375,150.20658724999998,364.4926419773886,231.3905839844749,139.78477999568761,117.76675781022865,15.130601727926438,5
S_102000854,breakwater,10000,0.02,True,12500us,2ms,10ms,False,10ms,10ms,True,0,1.5,True,400,100us,1500us,20,0.001,True,step,1000us,200,1.5,0.05,breakwater,10ms,0.01,2000us,6999us,3102.143217374943,1702.2848091384235,1386.6415702,899.829092449999,198.97306300000002,7.517453173613831,34.11525124256633,377.9107108800002,151.29519014999914,14.56310100000001,2
