timestamp,interface,control_scheme,capacity,throughput,goodput,latency_99,latency_95,latency_median,filename,BREAKWATER_INITIAL_CREDIT,RATE_LIMITING,DAGOR_ALPHA,BREAKWATER_CLIENT_EXPIRATION,TOKEN_UPDATE_RATE,BREAKWATER_A,BREAKWATERD_A,BREAKWATERD_INITIAL_CREDIT,CHARON_TRACK_PRICE,BREAKWATER_TRACK_CREDIT,BREAKWATERD_RTT,INTERCEPT,LAZY_UPDATE,BREAKWATERD_LOAD_SHEDDING,BREAKWATERD_B,DAGOR_UMAX,BREAKWATERD_CLIENT_EXPIRATION,PRICE_UPDATE_RATE,DAGOR_ADMISSION_LEVEL_UPDATE_INTERVAL,DAGOR_QUEUING_THRESHOLD,BREAKWATER_SLO,LATENCY_THRESHOLD,BREAKWATER_RTT,PRICE_STEP,BREAKWATER_B,BREAKWATER_LOAD_SHEDDING,LOAD_SHEDDING,DAGOR_BETA,PRICE_STRATEGY,BREAKWATERD_SLO,interfaces,total_goodput,total_throughput
0618_2011,S_161142529,charon,5000,1523.414061873346,1492.181183549643,380.32633802000026,319.6379003,66.848225,/home/jiali/Sync/Git/protobuf/ghz-results/social-S_161142529-control-charon-parallel-capacity-5000-0618_2011.json,400,True,0.05,10ms,75666us,0.001,0.001,400,False,False,1000us,charon,True,True,0.02,20,10ms,8394us,10ms,2ms,12500us,13360us,1000us,48,0.02,True,True,0.01,linear,12500us,"('S_102000854', 'S_149998854', 'S_161142529')",5933.355484933534,6218.660364377767
0618_2011,S_102000854,charon,5000,1486.00440748542,1233.1624722502934,681.7027026999997,528.30073025,45.347193,/home/jiali/Sync/Git/protobuf/ghz-results/social-S_102000854-control-charon-parallel-capacity-5000-0618_2011.json,400,True,0.05,10ms,75666us,0.001,0.001,400,False,False,1000us,charon,True,True,0.02,20,10ms,8394us,10ms,2ms,12500us,13360us,1000us,48,0.02,True,True,0.01,linear,12500us,"('S_102000854', 'S_149998854', 'S_161142529')",5933.355484933534,6218.660364377767
0618_2015,S_102000854,charon,6000,1697.3899572003838,1422.0719720024654,740.0778687899999,646.4973910999995,58.848708,/home/jiali/Sync/Git/protobuf/ghz-results/social-S_102000854-control-charon-parallel-capacity-6000-0618_2015.json,400,True,0.05,10ms,75666us,0.001,0.001,400,False,False,1000us,charon,True,True,0.02,20,10ms,8394us,10ms,2ms,12500us,13360us,1000us,48,0.02,True,True,0.01,linear,12500us,"('S_102000854', 'S_149998854', 'S_161142529')",6835.315026770195,7156.975547945138
0618_2015,S_161142529,charon,6000,2003.5955880285007,1963.7957770166852,378.2299486999997,301.9043684999997,79.930423,/home/jiali/Sync/Git/protobuf/ghz-results/social-S_161142529-control-charon-parallel-capacity-6000-0618_2015.json,400,True,0.05,10ms,75666us,0.001,0.001,400,False,False,1000us,charon,True,True,0.02,20,10ms,8394us,10ms,2ms,12500us,13360us,1000us,48,0.02,True,True,0.01,linear,12500us,"('S_102000854', 'S_149998854', 'S_161142529')",6835.315026770195,7156.975547945138
0618_2015,S_149998854,charon,6000,3455.990002716253,3449.447277751045,506.7635612499994,351.25022775,134.66138,/home/jiali/Sync/Git/protobuf/ghz-results/social-S_149998854-control-charon-parallel-capacity-6000-0618_2015.json,400,True,0.05,10ms,75666us,0.001,0.001,400,False,False,1000us,charon,True,True,0.02,20,10ms,8394us,10ms,2ms,12500us,13360us,1000us,48,0.02,True,True,0.01,linear,12500us,"('S_102000854', 'S_149998854', 'S_161142529')",6835.315026770195,7156.975547945138
0618_2020,S_161142529,charon,7000,1832.89733579346,1830.966044235115,322.33427916,277.29599095000003,69.0958695,/home/jiali/Sync/Git/protobuf/ghz-results/social-S_161142529-control-charon-parallel-capacity-7000-0618_2020.json,400,True,0.05,10ms,75666us,0.001,0.001,400,False,False,1000us,charon,True,True,0.02,20,10ms,8394us,10ms,2ms,12500us,13360us,1000us,48,0.02,True,True,0.01,linear,12500us,"('S_102000854', 'S_149998854', 'S_161142529')",5418.078069041807,5557.076961489307
0618_2020,S_102000854,charon,7000,898.1374824534207,761.0698815642656,648.29899672,594.4708528,42.963986,/home/jiali/Sync/Git/protobuf/ghz-results/social-S_102000854-control-charon-parallel-capacity-7000-0618_2020.json,400,True,0.05,10ms,75666us,0.001,0.001,400,False,False,1000us,charon,True,True,0.02,20,10ms,8394us,10ms,2ms,12500us,13360us,1000us,48,0.02,True,True,0.01,linear,12500us,"('S_102000854', 'S_149998854', 'S_161142529')",5418.078069041807,5557.076961489307
0618_2020,S_149998854,charon,7000,2826.0421432424264,2826.0421432424264,380.6613733600008,285.6173495,123.544566,/home/jiali/Sync/Git/protobuf/ghz-results/social-S_149998854-control-charon-parallel-capacity-7000-0618_2020.json,400,True,0.05,10ms,75666us,0.001,0.001,400,False,False,1000us,charon,True,True,0.02,20,10ms,8394us,10ms,2ms,12500us,13360us,1000us,48,0.02,True,True,0.01,linear,12500us,"('S_102000854', 'S_149998854', 'S_161142529')",5418.078069041807,5557.076961489307
0618_2024,S_149998854,charon,8000,1176.3458950097302,1175.517044634525,513.9407483499998,455.8669347,118.6598145,/home/jiali/Sync/Git/protobuf/ghz-results/social-S_149998854-control-charon-parallel-capacity-8000-0618_2024.json,400,True,0.05,10ms,75666us,0.001,0.001,400,False,False,1000us,charon,True,True,0.02,20,10ms,8394us,10ms,2ms,12500us,13360us,1000us,48,0.02,True,True,0.01,linear,12500us,"('S_102000854', 'S_149998854', 'S_161142529')",3396.1590570852586,3916.291200458567
0618_2024,S_161142529,charon,8000,1444.7359753397006,1217.8993052694668,678.7711704199997,513.488446,66.501248,/home/jiali/Sync/Git/protobuf/ghz-results/social-S_161142529-control-charon-parallel-capacity-8000-0618_2024.json,400,True,0.05,10ms,75666us,0.001,0.001,400,False,False,1000us,charon,True,True,0.02,20,10ms,8394us,10ms,2ms,12500us,13360us,1000us,48,0.02,True,True,0.01,linear,12500us,"('S_102000854', 'S_149998854', 'S_161142529')",3396.1590570852586,3916.291200458567
