timestamp,interface,control_scheme,capacity,throughput,goodput,latency_99,latency_95,latency_median,filename,BREAKWATERD_SLO,DAGOR_QUEUING_THRESHOLD,BREAKWATER_A,DAGOR_ALPHA,PRICE_UPDATE_RATE,BREAKWATER_SLO,INTERCEPT,BREAKWATER_LOAD_SHEDDING,BREAKWATERD_A,BREAKWATERD_RTT,BREAKWATERD_INITIAL_CREDIT,BREAKWATERD_LOAD_SHEDDING,LATENCY_THRESHOLD,PRICE_STEP,DAGOR_ADMISSION_LEVEL_UPDATE_INTERVAL,BREAKWATERD_B,DAGOR_UMAX,BREAKWATER_INITIAL_CREDIT,BREAKWATER_CLIENT_EXPIRATION,RATE_LIMITING,LOAD_SHEDDING,DAGOR_BETA,CHARON_TRACK_PRICE,BREAKWATER_RTT,LAZY_UPDATE,BREAKWATER_B,PRICE_STRATEGY,BREAKWATERD_CLIENT_EXPIRATION,TOKEN_UPDATE_RATE
0531_0440,S_102000854,breakwaterd,16000,5319.650741657742,3230.4169762390147,511.21590962000016,374.0389037999999,184.85488650000002,/home/jiali/Sync/Git/protobuf/ghz-results/social-S_102000854-control-breakwaterd-parallel-capacity-16000-0531_0440.json,51604us,2ms,0.0,0.05,10ms,33380us,breakwaterd,true,0.0,10869us,5000,true,100us,0,10ms,10.0,20,46,1us,true,true,0.01,false,1077us,false,1.270632198727174,step,77800us,10ms
0530_0415,S_161142529,charon,12000,6729.975524184389,6408.428479939803,447.11833724,348.95833339999996,121.157095,/home/jiali/Sync/Git/protobuf/ghz-results/social-S_161142529-control-charon-parallel-capacity-12000-0530_0415.json,12500us,2ms,0.001,0.05,16886us,12500us,charon,true,0.001,1000us,400,true,13332us,67,10ms,0.02,20,400,10ms,true,true,0.01,false,1000us,true,0.02,proportional,10ms,22581us
0531_0440,S_149998854,breakwaterd,12000,,,,,,/home/jiali/Sync/Git/protobuf/ghz-results/social-S_149998854-control-breakwaterd-parallel-capacity-12000-0531_0440.json,65167us,2ms,12.785340007049486,0.05,10ms,21352us,breakwaterd,true,3.609795206797263,10923us,674,true,100us,0,10ms,8.541370856983947,20,9,1115us,true,true,0.01,false,7623us,false,9.108482514013827,step,11484us,10ms
0529_0200,S_102000854,charon,10000,8591.75297455297,4321.180232508504,663.3316767699996,569.7962977999998,214.000965,/home/jiali/Sync/Git/protobuf/ghz-results/social-S_102000854-control-charon-parallel-capacity-10000-0529_0200.json,12500us,2ms,0.001,0.05,7766us,12500us,charon,true,0.001,1000us,400,true,7673us,22,10ms,0.02,20,400,10ms,true,true,0.01,false,1000us,true,0.02,proportional,10ms,1000us
0530_1456,S_161142529,charon,13000,832.4693850265446,667.6699970263785,461.74371219999995,412.2070634,70.65506,/home/jiali/Sync/Git/protobuf/ghz-results/social-S_161142529-control-charon-parallel-capacity-13000-0530_1456.json,12500us,2ms,0.001,0.05,1530us,12500us,charon,true,0.001,1000us,400,true,20626us,126,10ms,0.02,20,400,10ms,true,true,0.01,false,1000us,true,0.02,proportional,10ms,22754us
0530_0514,S_149998854,charon,9000,3224.2932894628643,3224.2932894628643,407.3159525900001,251.13975179999997,133.7664715,/home/jiali/Sync/Git/protobuf/ghz-results/social-S_149998854-control-charon-parallel-capacity-9000-0530_0514.json,12500us,2ms,0.001,0.05,17256us,12500us,charon,true,0.001,1000us,400,true,13360us,77,10ms,0.02,20,400,10ms,true,true,0.01,false,1000us,true,0.02,proportional,10ms,41220us
0529_1235,S_149998854,breakwater,6000,4714.1254056541875,4714.1254056541875,279.51371164,239.2718383,165.69296,/home/jiali/Sync/Git/protobuf/ghz-results/social-S_149998854-control-breakwater-parallel-capacity-6000-0529_1235.json,12500us,2ms,0.2895180150248522,0.05,10ms,4618us,breakwater,true,0.001,1000us,400,true,100us,0,10ms,0.02,20,1776,82us,true,true,0.01,false,18779us,false,1.2813105474595612,step,10ms,10ms
0530_0111,S_161142529,dagor,11000,5295.0972966527315,5053.104022375514,412.8450223999997,350.3905768,198.524646,/home/jiali/Sync/Git/protobuf/ghz-results/social-S_161142529-control-dagor-parallel-capacity-11000-0530_0111.json,12500us,6193us,0.001,1.189880849637384,10ms,12500us,dagor,true,0.001,1000us,400,true,100us,0,3806us,0.02,9,400,10ms,true,true,2.0144790634632894,false,1000us,false,0.02,step,10ms,10ms
0529_0357,S_149998854,charon,10000,4731.525784157364,4269.12948332777,924.3326383799999,814.4821536999997,217.5718545,/home/jiali/Sync/Git/protobuf/ghz-results/social-S_149998854-control-charon-parallel-capacity-10000-0529_0357.json,12500us,2ms,0.001,0.05,32542us,12500us,charon,true,0.001,1000us,400,true,39251us,47,10ms,0.02,20,400,10ms,true,true,0.01,false,1000us,true,0.02,proportional,10ms,13950us
0530_2229,S_102000854,breakwater,16000,7260.229783035563,52.99810483270214,987.13238407,921.9795415,523.4377135,/home/jiali/Sync/Git/protobuf/ghz-results/social-S_102000854-control-breakwater-parallel-capacity-16000-0530_2229.json,12500us,2ms,20.0,0.05,10ms,20000us,breakwater,true,0.001,1000us,400,true,100us,0,10ms,0.02,20,1,0us,true,true,0.01,false,0us,false,2.0,step,10ms,10ms
